country,date,new_deaths,new_deaths_smooth,total_deaths,traffic_retail,traffic_supermarket,traffic_parks,traffic_transit_stations,traffic_workplaces,traffic_residential,traffic_retail_smooth,traffic_supermarket_smooth,traffic_parks_smooth,traffic_transit_stations_smooth,traffic_workplaces_smooth,traffic_residential_smooth
Germany,2020-02-24,0.0,0,0.0,0.02,-0.05,0.17,-0.05,-0.2,0.04,0.01,0.01,0.09,0.01,-0.06,0.01
Germany,2020-02-25,0.0,0,0.0,-0.01,-0.01,0.15,-0.05,-0.13,0.04,0.01,0.0,0.1,0.0,-0.07,0.02
Germany,2020-02-26,0.0,0,0.0,-0.03,0.0,0.0,-0.07,-0.05,0.02,0.0,0.0,0.09,-0.01,-0.08,0.02
Germany,2020-02-27,0.0,0,0.0,-0.05,0.03,-0.03,-0.05,-0.04,0.02,-0.01,0.01,0.07,-0.02,-0.08,0.02
Germany,2020-02-28,0.0,0,0.0,0.03,0.11,0.09,-0.02,-0.05,0.02,-0.01,0.02,0.06,-0.02,-0.08,0.02
Germany,2020-02-29,0.0,0,0.0,-0.01,0.05,0.09,0.01,-0.01,0.01,-0.01,0.03,0.03,-0.03,-0.07,0.02
Germany,2020-03-01,0.0,0,0.0,0.08,0.18,0.21,0.04,0.01,0.0,0.0,0.04,0.1,-0.03,-0.07,0.02
Germany,2020-03-02,0.0,0,0.0,0.02,0.08,0.09,-0.01,0.0,0.0,0.0,0.06,0.09,-0.02,-0.04,0.02
Germany,2020-03-03,0.0,0,0.0,0.0,0.05,0.08,-0.03,0.0,0.01,0.01,0.07,0.08,-0.02,-0.02,0.01
Germany,2020-03-04,0.0,0,0.0,0.02,0.02,0.14,-0.04,0.0,0.01,0.01,0.07,0.1,-0.01,-0.01,0.01
Germany,2020-03-05,0.0,0,0.0,-0.04,0.0,0.0,-0.05,0.0,0.01,0.01,0.07,0.1,-0.01,-0.01,0.01
Germany,2020-03-06,0.0,0,0.0,-0.03,0.01,-0.11,-0.07,-0.01,0.02,0.01,0.06,0.07,-0.02,-0.0,0.01
Germany,2020-03-07,0.0,0,0.0,0.01,0.0,0.19,-0.02,0.0,0.01,0.01,0.05,0.09,-0.03,-0.0,0.01
Germany,2020-03-08,0.0,0,2.0,0.12,0.19,0.31,0.02,0.01,0.0,0.01,0.05,0.1,-0.03,-0.0,0.01
Germany,2020-03-09,2.0,0,2.0,-0.01,0.02,0.07,-0.05,-0.01,0.01,0.01,0.04,0.1,-0.03,-0.0,0.01
Germany,2020-03-10,0.0,0,2.0,-0.07,-0.02,-0.13,-0.08,-0.01,0.03,-0.0,0.03,0.07,-0.04,-0.0,0.01
Germany,2020-03-11,1.0,0,3.0,-0.01,0.02,0.17,-0.07,-0.01,0.02,-0.0,0.03,0.07,-0.05,-0.0,0.01
Germany,2020-03-12,0.0,0,3.0,-0.07,0.06,0.04,-0.09,-0.02,0.02,-0.01,0.04,0.08,-0.05,-0.01,0.02
Germany,2020-03-13,4.0,1,7.0,-0.09,0.19,-0.03,-0.15,-0.04,0.04,-0.02,0.07,0.09,-0.06,-0.01,0.02
Germany,2020-03-14,2.0,1,9.0,-0.17,0.09,0.33,-0.19,-0.03,0.04,-0.04,0.08,0.11,-0.09,-0.02,0.02
Germany,2020-03-15,2.0,1,11.0,-0.12,0.13,0.75,-0.16,-0.05,0.02,-0.08,0.07,0.17,-0.11,-0.02,0.03
Germany,2020-03-16,6.0,2,17.0,-0.07,0.22,0.4,-0.25,-0.18,0.06,-0.09,0.1,0.22,-0.14,-0.05,0.03
Germany,2020-03-17,7.0,3,24.0,-0.21,0.11,0.31,-0.35,-0.25,0.1,-0.11,0.12,0.28,-0.18,-0.08,0.04
Germany,2020-03-18,4.0,3,28.0,-0.34,0.05,0.44,-0.39,-0.3,0.11,-0.15,0.12,0.32,-0.23,-0.12,0.06
Germany,2020-03-19,16.0,5,44.0,-0.45,-0.03,0.15,-0.46,-0.33,0.14,-0.21,0.11,0.34,-0.28,-0.17,0.07
Germany,2020-03-20,23.0,8,67.0,-0.5,-0.02,-0.14,-0.52,-0.36,0.16,-0.27,0.08,0.32,-0.33,-0.21,0.09
Germany,2020-03-21,17.0,10,84.0,-0.69,-0.24,-0.31,-0.59,-0.31,0.13,-0.34,0.03,0.23,-0.39,-0.25,0.1
Germany,2020-03-22,10.0,11,94.0,-0.71,-0.35,0.01,-0.58,-0.34,0.1,-0.42,-0.04,0.12,-0.45,-0.3,0.11
Germany,2020-03-23,29.0,15,123.0,-0.57,-0.16,-0.05,-0.56,-0.41,0.16,-0.5,-0.09,0.06,-0.49,-0.33,0.13
Germany,2020-03-24,34.0,19,157.0,-0.59,-0.18,0.09,-0.56,-0.43,0.18,-0.55,-0.13,0.03,-0.52,-0.35,0.14
Germany,2020-03-25,49.0,25,206.0,-0.58,-0.18,0.11,-0.56,-0.43,0.18,-0.58,-0.17,-0.02,-0.55,-0.37,0.15
Germany,2020-03-26,61.0,31,267.0,-0.59,-0.16,0.03,-0.57,-0.44,0.18,-0.6,-0.18,-0.04,-0.56,-0.39,0.16
Germany,2020-03-27,75.0,39,342.0,-0.59,-0.14,0.21,-0.56,-0.44,0.19,-0.62,-0.2,0.01,-0.57,-0.4,0.16
Germany,2020-03-28,91.0,49,433.0,-0.66,-0.21,0.33,-0.53,-0.33,0.12,-0.61,-0.2,0.1,-0.56,-0.4,0.16
Germany,2020-03-29,100.0,62,533.0,-0.77,-0.51,-0.49,-0.68,-0.39,0.11,-0.62,-0.22,0.03,-0.57,-0.41,0.16
Germany,2020-03-30,112.0,74,645.0,-0.54,-0.16,-0.13,-0.56,-0.43,0.17,-0.62,-0.22,0.02,-0.57,-0.41,0.16
Germany,2020-03-31,130.0,88,775.0,-0.53,-0.12,0.07,-0.53,-0.43,0.17,-0.61,-0.21,0.02,-0.57,-0.41,0.16
Germany,2020-04-01,145.0,102,920.0,-0.52,-0.13,0.2,-0.53,-0.43,0.17,-0.6,-0.2,0.03,-0.57,-0.41,0.16
Germany,2020-04-02,187.0,120,1107.0,-0.54,-0.11,0.06,-0.54,-0.43,0.17,-0.59,-0.2,0.04,-0.56,-0.41,0.16
Germany,2020-04-03,168.0,133,1275.0,-0.57,-0.11,-0.13,-0.57,-0.44,0.19,-0.59,-0.19,-0.01,-0.56,-0.41,0.16
Germany,2020-04-04,169.0,144,1444.0,-0.63,-0.16,0.21,-0.52,-0.31,0.12,-0.59,-0.19,-0.03,-0.56,-0.41,0.16
Germany,2020-04-05,140.0,150,1584.0,-0.58,-0.13,0.61,-0.47,-0.3,0.08,-0.56,-0.13,0.13,-0.53,-0.4,0.15
Germany,2020-04-06,226.0,166,1810.0,-0.43,-0.06,0.49,-0.49,-0.44,0.15,-0.54,-0.12,0.22,-0.52,-0.4,0.15
Germany,2020-04-07,206.0,177,2016.0,-0.44,-0.02,0.5,-0.5,-0.45,0.16,-0.53,-0.1,0.28,-0.52,-0.4,0.15
Germany,2020-04-08,333.0,204,2349.0,-0.42,0.1,0.57,-0.49,-0.45,0.15,-0.52,-0.07,0.33,-0.51,-0.4,0.15
Germany,2020-04-09,258.0,214,2607.0,-0.4,0.14,0.37,-0.49,-0.47,0.15,-0.5,-0.03,0.37,-0.5,-0.41,0.14
Germany,2020-04-10,160.0,213,2767.0,-0.8,-0.92,0.72,-0.69,-0.86,0.29,-0.53,-0.15,0.5,-0.52,-0.47,0.16
Germany,2020-04-11,286.0,229,2736.0,-0.56,0.0,0.35,-0.48,-0.29,0.1,-0.52,-0.13,0.52,-0.52,-0.47,0.15
Germany,2020-04-12,286.0,250,3022.0,-0.63,-0.23,0.59,-0.47,-0.26,0.06,-0.53,-0.14,0.51,-0.52,-0.46,0.15
Germany,2020-04-13,172.0,243,3194.0,-0.81,-0.93,0.29,-0.73,-0.88,0.28,-0.58,-0.27,0.48,-0.55,-0.52,0.17
Germany,2020-04-14,100.0,227,3294.0,-0.45,0.01,0.08,-0.52,-0.45,0.17,-0.58,-0.26,0.42,-0.55,-0.52,0.17
Germany,2020-04-15,510.0,253,3804.0,-0.45,-0.09,0.46,-0.49,-0.44,0.16,-0.59,-0.29,0.41,-0.55,-0.52,0.17
Germany,2020-04-16,248.0,251,4052.0,-0.53,-0.03,0.57,-0.48,-0.43,0.16,-0.6,-0.31,0.44,-0.55,-0.52,0.17
Germany,2020-04-17,300.0,271,4352.0,-0.55,-0.04,0.49,-0.49,-0.43,0.16,-0.57,-0.19,0.4,-0.52,-0.45,0.16
Germany,2020-04-18,107.0,246,4459.0,-0.65,-0.14,0.35,-0.46,-0.22,0.1,-0.58,-0.21,0.4,-0.52,-0.44,0.16
Germany,2020-04-19,127.0,223,4586.0,-0.59,-0.07,0.56,-0.44,-0.22,0.07,-0.58,-0.18,0.4,-0.52,-0.44,0.16
Germany,2020-04-20,276.0,238,4862.0,-0.44,-0.09,0.35,-0.44,-0.36,0.13,-0.52,-0.06,0.41,-0.47,-0.36,0.14
Germany,2020-04-21,171.0,248,5033.0,-0.47,-0.08,0.45,-0.44,-0.35,0.14,-0.53,-0.08,0.46,-0.46,-0.35,0.13
Germany,2020-04-22,246.0,210,5279.0,-0.46,-0.08,0.6,-0.43,-0.35,0.13,-0.53,-0.08,0.48,-0.45,-0.34,0.13
Germany,2020-04-23,296.0,217,5575.0,-0.47,-0.06,0.58,-0.42,-0.35,0.13,-0.52,-0.08,0.48,-0.45,-0.33,0.12
Germany,2020-04-24,185.0,201,5760.0,-0.5,-0.07,0.38,-0.46,-0.36,0.14,-0.51,-0.08,0.47,-0.44,-0.32,0.12
Germany,2020-04-25,117.0,202,5877.0,-0.57,-0.1,0.4,-0.41,-0.19,0.09,-0.5,-0.08,0.47,-0.43,-0.31,0.12
Germany,2020-04-26,99.0,198,5976.0,-0.52,0.03,0.78,-0.39,-0.18,0.06,-0.49,-0.06,0.51,-0.43,-0.31,0.12
Germany,2020-04-27,150.0,180,6126.0,-0.43,-0.13,0.57,-0.41,-0.33,0.12,-0.49,-0.07,0.54,-0.42,-0.3,0.12
Germany,2020-04-28,188.0,183,6314.0,-0.48,-0.1,0.19,-0.43,-0.33,0.13,-0.49,-0.07,0.5,-0.42,-0.3,0.11
Germany,2020-04-29,153.0,169,6467.0,-0.46,0.01,0.12,-0.43,-0.33,0.13,-0.49,-0.06,0.43,-0.42,-0.3,0.11
Germany,2020-04-30,156.0,149,6623.0,-0.34,0.19,-0.08,-0.39,-0.34,0.12,-0.47,-0.02,0.34,-0.42,-0.29,0.11
Germany,2020-05-01,113.0,139,6736.0,-0.82,-0.92,0.17,-0.67,-0.84,0.28,-0.52,-0.15,0.31,-0.45,-0.36,0.13
Germany,2020-05-02,76.0,133,6812.0,-0.46,0.03,-0.18,-0.42,-0.2,0.09,-0.5,-0.13,0.22,-0.45,-0.36,0.13
Germany,2020-05-03,54.0,127,6866.0,-0.57,0.04,0.43,-0.37,-0.18,0.06,-0.51,-0.13,0.17,-0.45,-0.36,0.13
Germany,2020-05-04,127.0,123,6993.0,-0.32,-0.05,-0.01,-0.38,-0.3,0.11,-0.49,-0.11,0.09,-0.44,-0.36,0.13
Germany,2020-05-05,0.0,97,6993.0,-0.36,-0.06,0.21,-0.37,-0.29,0.12,-0.48,-0.11,0.09,-0.43,-0.35,0.13
Germany,2020-05-06,282.0,115,7275.0,-0.33,-0.05,0.49,-0.35,-0.28,0.11,-0.46,-0.12,0.15,-0.42,-0.35,0.13
Germany,2020-05-07,117.0,109,7392.0,-0.33,-0.03,0.47,-0.35,-0.28,0.11,-0.46,-0.15,0.23,-0.42,-0.34,0.13
Germany,2020-05-08,118.0,110,7510.0,-0.36,-0.05,0.6,-0.37,-0.31,0.11,-0.39,-0.02,0.29,-0.37,-0.26,0.1
Germany,2020-05-09,39.0,105,7549.0,-0.4,-0.01,0.61,-0.28,-0.08,0.05,-0.38,-0.03,0.4,-0.35,-0.25,0.1
Germany,2020-05-10,20.0,100,7569.0,-0.5,0.09,0.29,-0.33,-0.03,0.04,-0.37,-0.02,0.38,-0.35,-0.22,0.09
Germany,2020-05-11,92.0,95,7661.0,-0.34,-0.12,-0.23,-0.41,-0.28,0.11,-0.37,-0.03,0.35,-0.35,-0.22,0.09
Germany,2020-05-12,77.0,106,7738.0,-0.31,-0.04,0.14,-0.35,-0.26,0.11,-0.37,-0.03,0.34,-0.35,-0.22,0.09
Germany,2020-05-13,123.0,83,7861.0,-0.31,-0.07,0.13,-0.36,-0.26,0.11,-0.36,-0.03,0.29,-0.35,-0.21,0.09
Germany,2020-05-14,23.0,70,7884.0,-0.29,-0.04,0.2,-0.35,-0.26,0.1,-0.36,-0.03,0.25,-0.35,-0.21,0.09
Germany,2020-05-15,13.0,55,7897.0,-0.29,-0.03,0.29,-0.35,-0.26,0.1,-0.35,-0.03,0.2,-0.35,-0.2,0.09
Germany,2020-05-16,41.0,55,7938.0,-0.35,-0.06,0.53,-0.28,-0.05,0.05,-0.34,-0.04,0.19,-0.35,-0.2,0.09
Germany,2020-05-17,24.0,56,7962.0,-0.36,0.16,0.92,-0.25,-0.01,0.03,-0.32,-0.03,0.28,-0.34,-0.2,0.09
Germany,2020-05-18,41.0,48,8003.0,-0.15,-0.03,0.55,-0.3,-0.26,0.08,-0.29,-0.02,0.39,-0.32,-0.19,0.08
Germany,2020-05-19,78.0,49,8081.0,-0.17,0.02,0.63,-0.3,-0.25,0.09,-0.27,-0.01,0.46,-0.31,-0.19,0.08
Germany,2020-05-20,63.0,40,8144.0,-0.06,0.34,0.84,-0.25,-0.26,0.06,-0.24,0.05,0.57,-0.3,-0.19,0.07
Germany,2020-05-21,59.0,45,8203.0,-0.55,-0.87,2.25,-0.46,-0.81,0.18,-0.28,-0.07,0.86,-0.31,-0.27,0.08
Germany,2020-05-22,25.0,47,8228.0,-0.19,0.01,0.68,-0.4,-0.51,0.14,-0.26,-0.06,0.91,-0.32,-0.31,0.09
Germany,2020-05-23,33.0,46,8261.0,-0.35,-0.09,0.27,-0.35,-0.08,0.07,-0.26,-0.07,0.88,-0.33,-0.31,0.09
Germany,2020-05-24,22.0,45,8283.0,-0.42,0.03,0.37,-0.31,-0.04,0.03,-0.27,-0.08,0.8,-0.34,-0.32,0.09
Germany,2020-05-25,26.0,43,8309.0,-0.16,-0.02,0.33,-0.31,-0.27,0.08,-0.27,-0.08,0.77,-0.34,-0.32,0.09
Germany,2020-05-26,63.0,41,8372.0,-0.18,-0.04,0.73,-0.28,-0.23,0.08,-0.27,-0.09,0.78,-0.34,-0.31,0.09
Germany,2020-05-27,56.0,40,8428.0,-0.15,-0.03,0.86,-0.27,-0.23,0.07,-0.29,-0.14,0.78,-0.34,-0.31,0.09
Germany,2020-05-28,42.0,38,8470.0,-0.16,0.02,0.65,-0.27,-0.24,0.08,-0.23,-0.02,0.56,-0.31,-0.23,0.08
Germany,2020-05-29,34.0,39,8504.0,-0.15,0.06,0.84,-0.25,-0.25,0.07,-0.22,-0.01,0.58,-0.29,-0.19,0.07
Germany,2020-05-30,26.0,38,8530.0,-0.23,0.04,0.99,-0.17,0.05,0.02,-0.21,0.01,0.68,-0.27,-0.17,0.06
Germany,2020-05-31,10.0,36,8540.0,-0.19,0.32,1.43,-0.13,0.08,0.0,-0.17,0.05,0.83,-0.24,-0.16,0.06
Germany,2020-06-01,15.0,35,8555.0,-0.45,-0.86,2.64,-0.42,-0.8,0.16,-0.22,-0.07,1.16,-0.26,-0.23,0.07
Germany,2020-06-02,8.0,27,8563.0,-0.06,0.15,1.09,-0.22,-0.26,0.06,-0.2,-0.04,1.21,-0.25,-0.24,0.07
Germany,2020-06-03,39.0,24,8602.0,-0.11,0.01,0.91,-0.24,-0.25,0.07,-0.19,-0.04,1.22,-0.24,-0.24,0.07
Germany,2020-06-04,33.0,23,8635.0,-0.2,-0.02,0.12,-0.31,-0.26,0.09,-0.2,-0.04,1.15,-0.25,-0.24,0.07
Germany,2020-06-05,23.0,22,8658.0,-0.2,-0.02,0.21,-0.32,-0.26,0.09,-0.21,-0.05,1.06,-0.26,-0.24,0.07
Germany,2020-06-06,15.0,20,8673.0,-0.25,-0.05,0.44,-0.24,0.01,0.04,-0.21,-0.07,0.98,-0.27,-0.25,0.07
Germany,2020-06-07,12.0,20,8685.0,-0.31,0.11,0.51,-0.27,0.03,0.03,-0.23,-0.1,0.85,-0.29,-0.26,0.08
Germany,2020-06-08,10.0,20,8695.0,-0.08,-0.04,0.67,-0.26,-0.25,0.07,-0.17,0.02,0.56,-0.27,-0.18,0.06
Germany,2020-06-09,41.0,24,8736.0,-0.12,-0.02,0.59,-0.27,-0.25,0.08,-0.18,-0.0,0.49,-0.27,-0.18,0.07
Germany,2020-06-10,16.0,21,8752.0,-0.05,0.16,0.7,-0.24,-0.25,0.06,-0.17,0.02,0.46,-0.27,-0.18,0.07
Germany,2020-06-11,20.0,19,8772.0,-0.36,-0.54,1.12,-0.4,-0.59,0.16,-0.2,-0.06,0.61,-0.29,-0.22,0.08
Germany,2020-06-12,11.0,17,8783.0,-0.08,0.03,1.47,-0.25,-0.37,0.07,-0.18,-0.05,0.79,-0.28,-0.24,0.07
Germany,2020-06-13,10.0,17,8793.0,-0.26,-0.09,0.97,-0.21,0.04,0.02,-0.18,-0.06,0.86,-0.27,-0.23,0.07
Germany,2020-06-14,8.0,16,8801.0,-0.33,0.08,0.34,-0.26,0.05,0.02,-0.18,-0.06,0.84,-0.27,-0.23,0.07
Germany,2020-06-15,6.0,16,8807.0,-0.1,-0.02,0.63,-0.24,-0.23,0.06,-0.19,-0.06,0.83,-0.27,-0.23,0.07
Germany,2020-06-16,13.0,12,8820.0,-0.11,0.0,0.75,-0.22,-0.21,0.06,-0.18,-0.05,0.85,-0.26,-0.22,0.06
Germany,2020-06-17,31.0,14,8851.0,-0.1,-0.03,0.8,-0.22,-0.21,0.06,-0.19,-0.08,0.87,-0.26,-0.22,0.06
Germany,2020-06-18,24.0,14,8875.0,-0.12,-0.02,0.67,-0.23,-0.22,0.06,-0.16,-0.01,0.8,-0.23,-0.16,0.05
Germany,2020-06-19,12.0,14,8887.0,-0.13,-0.01,0.63,-0.23,-0.23,0.06,-0.16,-0.01,0.68,-0.23,-0.14,0.05
Germany,2020-06-20,8.0,14,8895.0,-0.2,-0.05,0.85,-0.18,0.07,0.02,-0.16,-0.01,0.67,-0.23,-0.14,0.05
Germany,2020-06-21,0.0,13,8895.0,-0.08,0.33,1.23,-0.11,0.15,-0.01,-0.12,0.03,0.79,-0.2,-0.13,0.04
Germany,2020-06-22,4.0,13,8899.0,-0.06,-0.02,0.96,-0.21,-0.23,0.05,-0.11,0.03,0.84,-0.2,-0.13,0.04
Germany,2020-06-23,15.0,13,8914.0,-0.06,-0.01,1.29,-0.19,-0.22,0.05,-0.11,0.03,0.92,-0.2,-0.13,0.04
Germany,2020-06-24,14.0,11,8928.0,-0.06,-0.01,1.3,-0.19,-0.2,0.05,-0.1,0.03,0.99,-0.19,-0.13,0.04
Germany,2020-06-25,12.0,9,8940.0,-0.11,-0.01,1.06,-0.21,-0.22,0.05,-0.1,0.03,1.05,-0.19,-0.13,0.04
Germany,2020-06-26,25.0,11,8965.0,-0.14,-0.02,1.14,-0.21,-0.23,0.05,-0.1,0.03,1.12,-0.19,-0.13,0.04
Germany,2020-06-27,3.0,10,8968.0,-0.23,-0.06,1.1,-0.16,0.03,0.01,-0.11,0.03,1.15,-0.18,-0.13,0.04
Germany,2020-06-28,0.0,10,8968.0,-0.18,0.23,0.72,-0.18,0.1,0.0,-0.12,0.01,1.08,-0.19,-0.14,0.04
Germany,2020-06-29,8.0,11,8976.0,-0.03,0.01,0.74,-0.22,-0.23,0.05,-0.12,0.02,1.05,-0.19,-0.14,0.04
Germany,2020-06-30,14.0,10,8990.0,0.0,0.03,0.92,-0.2,-0.22,0.06,-0.11,0.02,1.0,-0.2,-0.14,0.04
Germany,2020-07-01,5.0,9,8995.0,-0.02,-0.01,0.85,-0.21,-0.22,0.05,-0.1,0.02,0.93,-0.2,-0.14,0.04
Germany,2020-07-02,11.0,9,9006.0,-0.06,0.0,0.69,-0.21,-0.23,0.06,-0.09,0.03,0.88,-0.2,-0.14,0.04
Germany,2020-07-03,4.0,6,9010.0,-0.05,0.01,0.99,-0.2,-0.23,0.05,-0.08,0.03,0.86,-0.2,-0.14,0.04
Germany,2020-07-04,10.0,7,9020.0,-0.16,-0.05,1.09,-0.12,0.03,0.0,-0.07,0.03,0.86,-0.19,-0.14,0.04
Germany,2020-07-05,3.0,7,9023.0,-0.09,0.27,0.95,-0.12,0.07,0.0,-0.06,0.04,0.89,-0.18,-0.15,0.04
Germany,2020-07-06,10.0,8,9022.0,-0.02,-0.01,0.73,-0.22,-0.26,0.05,-0.06,0.03,0.89,-0.18,-0.15,0.04
Germany,2020-07-07,10.0,7,9032.0,-0.02,-0.01,1.06,-0.2,-0.25,0.06,-0.06,0.03,0.91,-0.18,-0.16,0.04
Germany,2020-07-08,14.0,8,9046.0,-0.04,-0.03,0.8,-0.23,-0.25,0.06,-0.06,0.03,0.9,-0.19,-0.16,0.04
Germany,2020-07-09,11.0,8,9057.0,-0.08,-0.03,0.74,-0.23,-0.26,0.06,-0.07,0.02,0.91,-0.19,-0.16,0.04
Germany,2020-07-10,6.0,9,9063.0,-0.11,-0.02,0.74,-0.23,-0.26,0.06,-0.07,0.02,0.87,-0.19,-0.17,0.04
Germany,2020-07-11,7.0,8,9070.0,-0.15,-0.06,1.12,-0.11,0.03,0.0,-0.07,0.02,0.88,-0.19,-0.17,0.04
Germany,2020-07-12,1.0,8,9071.0,0.03,0.42,1.42,-0.04,0.1,-0.02,-0.06,0.04,0.94,-0.18,-0.16,0.04
Germany,2020-07-13,3.0,7,9074.0,0.0,-0.02,1.32,-0.2,-0.26,0.04,-0.05,0.04,1.03,-0.18,-0.16,0.04
Germany,2020-07-14,4.0,6,9078.0,-0.03,-0.02,1.16,-0.21,-0.26,0.06,-0.05,0.03,1.04,-0.18,-0.17,0.04
Germany,2020-07-15,2.0,4,9080.0,-0.02,-0.01,0.78,-0.23,-0.26,0.06,-0.05,0.04,1.04,-0.18,-0.17,0.04
Germany,2020-07-16,7.0,4,9087.0,-0.07,-0.02,0.63,-0.24,-0.27,0.06,-0.05,0.04,1.02,-0.18,-0.17,0.04
Germany,2020-07-17,1.0,3,9088.0,-0.06,-0.02,1.08,-0.21,-0.28,0.05,-0.04,0.04,1.07,-0.18,-0.17,0.04
Germany,2020-07-18,3.0,3,9091.0,-0.16,-0.07,1.5,-0.06,0.02,-0.01,-0.04,0.04,1.13,-0.17,-0.17,0.03
Germany,2020-07-19,1.0,3,9092.0,0.03,0.4,1.52,-0.03,0.09,-0.03,-0.04,0.03,1.14,-0.17,-0.17,0.03
Germany,2020-07-20,2.0,2,9094.0,0.0,-0.01,1.3,-0.22,-0.31,0.05,-0.04,0.04,1.14,-0.17,-0.18,0.03
Germany,2020-07-21,5.0,3,9099.0,0.0,-0.02,1.53,-0.21,-0.3,0.05,-0.04,0.04,1.19,-0.17,-0.19,0.03
Germany,2020-07-22,3.0,3,9102.0,0.02,-0.03,1.56,-0.21,-0.28,0.05,-0.03,0.03,1.3,-0.17,-0.19,0.03
Germany,2020-07-23,8.0,3,9110.0,-0.03,-0.03,1.43,-0.21,-0.29,0.05,-0.03,0.03,1.42,-0.16,-0.19,0.03
Germany,2020-07-24,10.0,4,9120.0,-0.08,-0.03,1.23,-0.22,-0.3,0.05,-0.03,0.03,1.44,-0.17,-0.2,0.03
Germany,2020-07-25,4.0,4,9124.0,-0.17,-0.08,1.48,-0.08,-0.01,-0.01,-0.03,0.03,1.44,-0.17,-0.2,0.03
Germany,2020-07-26,0.0,4,9124.0,-0.07,0.3,0.92,-0.1,0.02,0.0,-0.05,0.01,1.35,-0.18,-0.21,0.03
Germany,2020-07-27,1.0,4,9125.0,0.01,-0.01,1.38,-0.22,-0.33,0.05,-0.05,0.01,1.36,-0.18,-0.21,0.03
Germany,2020-07-28,6.0,4,9131.0,-0.01,-0.02,1.5,-0.22,-0.32,0.06,-0.05,0.01,1.36,-0.18,-0.22,0.04
Germany,2020-07-29,4.0,4,9135.0,0.05,-0.01,1.59,-0.2,-0.32,0.05,-0.04,0.02,1.36,-0.18,-0.22,0.04
